fra;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
FR;2021-02-26-2021-03-04;69;10505;60.8;6349;60.4;591;5.6;831;7.9;2734;26
FR;2021-02-26-2021-03-04;79;6341;58.2;3749;59.1;286;4.5;546;8.6;1760;27.8
FR;2021-02-26-2021-03-04;89;4020;56.5;2074;51.6;156;3.9;440;10.9;1350;33.6
FR;2021-02-26-2021-03-04;90;1676;56.2;803;47.9;71;4.2;201;12;601;35.9
FR;2021-02-27-2021-03-05;09;4730;64.3;3169;67;199;4.2;511;10.8;851;18
FR;2021-02-27-2021-03-05;19;14143;61.4;9480;67;698;4.9;1152;8.1;2813;19.9
FR;2021-02-27-2021-03-05;29;16143;58;10777;66.8;775;4.8;1427;8.8;3164;19.6
FR;2021-02-27-2021-03-05;39;15518;58.4;10332;66.6;872;5.6;1298;8.4;3016;19.4
FR;2021-02-27-2021-03-05;49;15456;60;10335;66.9;763;4.9;1192;7.7;3166;20.5
FR;2021-02-27-2021-03-05;59;14198;59.7;9226;65;720;5.1;1134;8;3118;22
FR;2021-02-27-2021-03-05;69;10456;60.8;6464;61.8;589;5.6;846;8.1;2557;24.5
FR;2021-02-27-2021-03-05;79;6318;57.9;3845;60.9;261;4.1;550;8.7;1662;26.3
FR;2021-02-27-2021-03-05;89;3921;56.6;2094;53.4;145;3.7;418;10.7;1264;32.2
FR;2021-02-27-2021-03-05;90;1643;57.7;811;49.4;68;4.1;200;12.2;564;34.3
FR;2021-02-28-2021-03-06;09;4758;63.8;3183;66.9;214;4.5;514;10.8;847;17.8
FR;2021-02-28-2021-03-06;19;14266;61.3;9663;67.7;687;4.8;1168;8.2;2748;19.3
FR;2021-02-28-2021-03-06;29;16187;57.7;10895;67.3;761;4.7;1444;8.9;3087;19.1
FR;2021-02-28-2021-03-06;39;15653;58.5;10566;67.5;853;5.4;1292;8.3;2942;18.8
FR;2021-02-28-2021-03-06;49;15434;59.6;10482;67.9;736;4.8;1196;7.7;3020;19.6
FR;2021-02-28-2021-03-06;59;14213;59.5;9378;66;712;5;1128;7.9;2995;21.1
